lat,lon,score,place,url
43.84500455999998,-79.19926825999988,1,"16-24 Reesor Road, Toronto ON",https://www.walkscore.com/score/loc/lat=43.845005/lng=-79.199268
43.84500455999998,-79.17726825999988,3,"20 Beare Road, Toronto ON",https://www.walkscore.com/score/loc/lat=43.845005/lng=-79.177268
43.82300455999998,-79.30926825999991,87,Toronto ON,https://www.walkscore.com/score/loc/lat=43.823005/lng=-79.309268
43.82300455999998,-79.2872682599999,67,Toronto ON,https://www.walkscore.com/score/loc/lat=43.823005/lng=-79.287268
43.82300455999998,-79.2652682599999,72,"103 Shady Hollow Drive, Toronto ON",https://www.walkscore.com/score/loc/lat=43.823005/lng=-79.265268
43.82300455999998,-79.2432682599999,46,"870-980 Tapscott Rd, Toronto ON",https://www.walkscore.com/score/loc/lat=43.823005/lng=-79.243268
43.82300455999998,-79.22126825999989,53,Toronto ON,https://www.walkscore.com/score/loc/lat=43.823005/lng=-79.221268
43.82300455999998,-79.19926825999988,33,"260 Old Finch Avenue, Toronto ON",https://www.walkscore.com/score/loc/lat=43.823005/lng=-79.199268
43.82300455999998,-79.17726825999988,18,"1749 Meadowvale Road, Toronto ON",https://www.walkscore.com/score/loc/lat=43.823005/lng=-79.177268
43.80100455999998,-79.39726825999993,46,Toronto ON,https://www.walkscore.com/score/loc/lat=43.801005/lng=-79.397268
43.80100455999998,-79.37526825999993,40,"61 Yatesbury Road, Toronto ON",https://www.walkscore.com/score/loc/lat=43.801005/lng=-79.375268
43.80100455999998,-79.35326825999992,68,Toronto ON,https://www.walkscore.com/score/loc/lat=43.801005/lng=-79.353268
43.80100455999998,-79.33126825999992,72,Toronto ON,https://www.walkscore.com/score/loc/lat=43.801005/lng=-79.331268
43.80100455999998,-79.2872682599999,84,Toronto ON,https://www.walkscore.com/score/loc/lat=43.801005/lng=-79.287268
43.80100455999998,-79.2652682599999,72,Toronto ON,https://www.walkscore.com/score/loc/lat=43.801005/lng=-79.265268
43.80100455999998,-79.2432682599999,51,"2212-2220 Markham Road, Toronto ON",https://www.walkscore.com/score/loc/lat=43.801005/lng=-79.243268
43.80100455999998,-79.22126825999989,82,"120 Berner Trail, Toronto ON",https://www.walkscore.com/score/loc/lat=43.801005/lng=-79.221268
43.80100455999998,-79.19926825999988,78,Toronto ON,https://www.walkscore.com/score/loc/lat=43.801005/lng=-79.199268
43.80100455999998,-79.17726825999988,44,Toronto ON,https://www.walkscore.com/score/loc/lat=43.801005/lng=-79.177268
43.80100455999998,-79.15526825999987,43,Toronto ON,https://www.walkscore.com/score/loc/lat=43.801005/lng=-79.155268
43.80100455999998,-79.13326825999987,24,"523 Rouge Hills Drive, Pickering ON",https://www.walkscore.com/score/loc/lat=43.801005/lng=-79.133268
43.77900455999998,-79.48526825999996,49,"601 Canarctic Drive, Toronto ON",https://www.walkscore.com/score/loc/lat=43.779005/lng=-79.485268
43.77900455999998,-79.46326825999995,12,"Unnamed Rd, Toronto ON",https://www.walkscore.com/score/loc/lat=43.779005/lng=-79.463268
43.77900455999998,-79.44126825999994,73,"24 Kenton Drive, Toronto ON",https://www.walkscore.com/score/loc/lat=43.779005/lng=-79.441268
43.77900455999998,-79.41926825999994,96,Toronto ON,https://www.walkscore.com/score/loc/lat=43.779005/lng=-79.419268
43.77900455999998,-79.39726825999993,49,Toronto ON,https://www.walkscore.com/score/loc/lat=43.779005/lng=-79.397268
43.77900455999998,-79.37526825999993,32,Toronto ON,https://www.walkscore.com/score/loc/lat=43.779005/lng=-79.375268
43.77900455999998,-79.35326825999992,79,"9 Esterbrooke Avenue, Toronto ON",https://www.walkscore.com/score/loc/lat=43.779005/lng=-79.353268
43.77900455999998,-79.33126825999992,86,Toronto ON,https://www.walkscore.com/score/loc/lat=43.779005/lng=-79.331268
43.77900455999998,-79.30926825999991,82,Toronto ON,https://www.walkscore.com/score/loc/lat=43.779005/lng=-79.309268
43.77900455999998,-79.2872682599999,81,Toronto ON,https://www.walkscore.com/score/loc/lat=43.779005/lng=-79.287268
43.77900455999998,-79.2652682599999,77,"Ontario 401 Express, Toronto ON",https://www.walkscore.com/score/loc/lat=43.779005/lng=-79.265268
43.77900455999998,-79.2432682599999,85,Toronto ON,https://www.walkscore.com/score/loc/lat=43.779005/lng=-79.243268
43.77900455999998,-79.19926825999988,48,"9 Neilson Road, Toronto ON",https://www.walkscore.com/score/loc/lat=43.779005/lng=-79.199268
43.77900455999998,-79.17726825999988,68,"237 Old Kingston Road, Toronto ON",https://www.walkscore.com/score/loc/lat=43.779005/lng=-79.177268
43.77900455999998,-79.15526825999987,37,Toronto ON,https://www.walkscore.com/score/loc/lat=43.779005/lng=-79.155268
43.77900455999998,-79.13326825999987,71,Toronto ON,https://www.walkscore.com/score/loc/lat=43.779005/lng=-79.133268
43.757004559999984,-79.59526825999998,66,"17 Plowshare Crescent, Toronto ON",https://www.walkscore.com/score/loc/lat=43.757005/lng=-79.595268
43.757004559999984,-79.57326825999998,70,Toronto ON,https://www.walkscore.com/score/loc/lat=43.757005/lng=-79.573268
43.757004559999984,-79.55126825999997,57,"111 Toryork Drive, Toronto ON",https://www.walkscore.com/score/loc/lat=43.757005/lng=-79.551268
43.757004559999984,-79.52926825999997,58,"Ontario 400, Toronto ON",https://www.walkscore.com/score/loc/lat=43.757005/lng=-79.529268
43.757004559999984,-79.50726825999996,70,"55 Topcliff Avenue, Toronto ON",https://www.walkscore.com/score/loc/lat=43.757005/lng=-79.507268
43.757004559999984,-79.48526825999996,71,Toronto ON,https://www.walkscore.com/score/loc/lat=43.757005/lng=-79.485268
43.757004559999984,-79.46326825999995,83,Toronto ON,https://www.walkscore.com/score/loc/lat=43.757005/lng=-79.463268
